Titre,Réalisateur,Date de sortie,Genres,Résumé,Note
Le Parrain - 2e Partie,Francis Ford Coppola,1974,"['Gangster', 'Drame']","En 1901, en Sicile, le tout jeune Vito Andolini voit son père, son frère et sa mère assassinés par un parrain local. Il s'enfuit vers les États-Unis, où les services de l'immigration le rebaptisent Vito Corleone... Cinquante ans plus tard, aux États-Unis, son fils Michael dirige d'une main de fer l'empire criminel de son père et cherche à étendre les activités criminelles de la famille à Las Vegas et à Cuba.",8.3
Parasite,Bong Joon-Ho,2019,"['Drame', 'Thriller', 'Comédie']","Toute la famille de Ki-taek est au chômage, et s’intéresse fortement au train de vie de la richissime famille Park. Un jour, leur fils réussit à se faire recommander pour donner des cours particuliers d’anglais chez les Park. C’est le début d’un engrenage incontrôlable, dont personne ne sortira véritablement indemne…",8.3
Apocalypse Now,Francis Ford Coppola,1979,"['Drame', 'Guerre']","Durant la guerre du Viêt-nam, le capitaine Willard est contraint de mener une mission périlleuse au Cambodge. Accompagné de quatre soldats, il doit mettre fin au commandement du colonel Kurtz, qui utilise des méthodes jugées trop barbares.",8.3
Pulp Fiction,Quentin Tarantino,1994,"['Gangster', 'Comédie']","L'odyssée sanglante, burlesque et cocasse de petits malfrats dans la jungle de Los Angeles à travers quatre histoires qui s'entremêlent.",8.3
Le Dictateur,Charlie Chaplin,1940,"['Comédie dramatique', 'Guerre']","Dans un ghetto juif vit un petit barbier juif qui ressemble énormément à Adenoid Hynkel, le dictateur de Tomania qui a décidé l'extermination du peuple juif. Au cours d'une rafle, le barbier est arrêté en compagnie de Schultz, un farouche adversaire d'Hynkel.",8.3
Voyage au bout de l'enfer,Michael Cimino,1978,"['Drame', 'Guerre']",Une analyse en profondeur de la façon dont la guerre du Vietnam touche et bouleverse la vie des habitants d'une petite ville industrielle de Pennsylvanie.,8.3
Psychose,Alfred Hitchcock,1960,['Thriller'],"Phoenix, Arizona. Marion Crane, une employée modèle, vole 40 000 dollars à son patron pour permettre à son amant, Sam Loomis, d'éponger ses dettes. Elle s'enfuit en voiture dans l'intention de le rejoindre chez lui en Californie. Sur la route, une forte pluie l'oblige à s'arrêter. Elle descend dans un motel isolé, tenu par le jeune et sympathique gérant, Norman Bates.",8.3
La Femme des sables,Hiroshi Teshigahara,1964,['Drame'],Un homme marchant dans le désert fais une halte pour se reposer. Des villageois lui proposent de dormir dans leur village mais le font prisonnier.,8.3
Soy Cuba,Mikhail Kalatozov,1964,['Drame'],"A travers quatre histoires, ""Soy Cuba"" décrit la lente évolution de Cuba du régime de Batista jusqu'à la révolution de Fidel Castro. Quatre récits qui renforcent l'idéal communiste face à la mainmise du capitalisme. Tout au long de ces épisodes Cuba se libère de ses dépendances politiques pour affirmer son identité, singulière et autonome, avec ses contradictions et ses espérances.",8.2
Les Affranchis,Martin Scorsese,1990,"['Gangster', 'Biopic']","A Brooklyn, dans les années 1950, Henry Hill, né d’un père irlandais et d’une mère sicilienne, a toujours voulu devenir gangster. Il commet à 16 ans ses premiers délits. Arrêté, le gamin des rues gagne le respect du parrain Paul Cicero en refusant de livrer ses complices, la règle d’or des affranchis. A sa sortie de prison, Henry se lie d'amitié avec Jimmy Conway, un truand imprévisible et cruel qui deviendra son mentor, et Tommy De Vito, un gangster dangereux et impulsif.",8.2
