Titre,Réalisateur,Date de sortie,Genres,Résumé,Note
Alien - Le 8ème Passager,Ridley Scott,1979,"['Épouvante-Horreur', 'Science-fiction']","En 2122, le vaisseau commercial Nostromo et son équipage en hibernation, font route vers la Terre avec une importante cargaison de minerai. Un signal, émanant d’une planète inconnue, les tire de leur sommeil artificiel. Intrigué, l’équipage se rend sur place et découvre les restes d'un gigantesque vaisseau extraterrestre. Lors de l’exploration de l’épave, l'officier Kane se fait agresser par une forme de vie inconnue.",8.1
Drive,Nicolas Winding Refn,2011,"['Drame', 'Action', 'Thriller', 'Film noir']",Un cascadeur tranquille et anonyme se métamorphose dès que la nuit tombe : il devient pilote de voitures pour le compte de la mafia. La combine est bien rodée jusqu’au jour où l'un des casses tourne mal et l’entraîne dans une course-poursuite infernale.,7.4
The Big Lebowski,Joel Coen,1998,"['Comédie', 'Policier']","À Los Angeles, Jeffrey Lebowski, alias le Dude, mène une vie nonchalante. Il passe le plus clair de son temps à ne rien faire en robe de chambre ou à jouer au bowling du coin avec ses copains Walter, un vétéran du Vietnam, et Donny. Un jour, alors qu'il rentre tranquillement chez lui, Dude est agressé par deux individus qui le confondent avec un milliardaire qui porte le même nom que lui. Sur les conseils de Walter, il part à la recherche de ce dernier pour obtenir un dédommagement.",7.7
La Ligne verte,Frank Darabont,1999,"['Drame', 'Fantastique']","En 1935, Paul Edgecomb, surveillant-chef dans un pénitencier de Louisiane, est chargé des condamnés qui attendent dans le couloir de la mort, appelé aussi ""la ligne verte"". Un jour, un nouveau prisonnier arrive, John Coffey, un colosse dont la gentillesse contraste avec les faits qui lui sont reprochés, à savoir le viol et le meurtre de deux fillettes. Cet homme étrange se révèle doté de pouvoirs extraordinaires.",7.8
Django Unchained,Quentin Tarantino,2012,['Western'],Un esclave noir est affranchi par un chasseur de primes. Le moment est venu de sauver son épouse d'un riche propriétaire de plantation du Mississipi.,7.8
Barry Lyndon,Stanley Kubrick,1975,"['Drame', 'Historique', 'Aventure']","En Prusse, au début de la guerre de Sept Ans, un voyou irlandais conquiert le cœur d'une riche veuve et assume la position de son mari mort.",8.1
Shutter Island,Martin Scorsese,2010,['Thriller'],"En 1954, une des patientes de l'hôpital psychiatrique situé sur l'île de Shutter Island, au large de Boston, a disparu sans laisser de traces. Le marshal Teddy Daniels et son coéquipier Chuck Aule, sont envoyés sur place pour mener l'enquête. L'affaire se révèle vite très mystérieuse pour les deux hommes.",7.7
Le Seigneur des Anneaux - Les Deux Tours,Peter Jackson,2002,"['Aventure', 'Fantasy']","La Communauté est dissoute, mais la quête pour détruire l'Anneau Unique se poursuit. Accompagné par son fidèle Sam et guidé par l'étrange Gollum, Frodon cherche un moyen d'entrer en Mordor. Alors que l'armée de Saroumane se met en marche, les autres compagnons de la Communauté se préparent à la bataille. La Guerre de l'Anneau a commencé !",8
American Beauty,Sam Mendes,1999,['Drame'],"Lester Burnham, quadragénaire, mène une existence confortable et rangée. Mais quand il perd son emploi, il remet toute sa vie en question. Il décide de ne plus faire d'efforts pour supporter son épouse acariâtre et sa fille en pleine crise d'adolescence. Un jour, il fait la connaissance d'Angela, une camarade de sa fille, dont la beauté le subjugue.",7.8
Jurassic Park,Steven Spielberg,1993,"['Aventure', 'Science-fiction']","Sur une île au large du Costa Rica, des scientifiques, financés par le milliardaire John Hammond, ont réussi à cloner des animaux préhistoriques. Leur découverte a permis de créer un parc d'attractions peuplé de dinosaures. Avant l'ouverture au public, Hammond demande à Alan et Ellie, deux paléontologues de renom, de cautionner son projet. Mais lors de la première inspection, le système de sécurité se détraque.",7.6
Reservoir Dogs,Quentin Tarantino,1992,['Gangster'],Un braquage est interrompu par l'intervention de la police. Les criminels survivants commencent à soupçonner la présence d'un espion parmi eux.,8
Kill Bill - Volume 1,Quentin Tarantino,2003,"['Arts martiaux', 'Action']","Au cours d'une cérémonie de mariage en plein désert, un commando fait irruption dans la chapelle et tire sur les convives. Laissée pour morte, la Mariée enceinte retrouve ses esprits après un coma de quatre ans. Celle qui a auparavant exercé les fonctions de tueuse à gages au sein du Détachement International des Vipères Assassines n'a alors plus qu'une seule idée en tête : venger la mort de ses proches en éliminant tous les membres de l'organisation criminelle, dont leur chef Bill qu'elle se...  Voir plus",7.7
Mommy,Xavier Dolan,2014,['Drame'],"Une veuve hérite de la garde de son fils, un adolescent impulsif et violent. Au coeur de leurs emportements, ils tentent de joindre les deux bouts.",7.9
Taxi Driver,Martin Scorsese,1976,"['Drame', 'Policier']","Vétéran de la Guerre du Vietnam, Travis Bickle est chauffeur de taxi dans la ville de New York. Ses rencontres nocturnes et la violence quotidienne dont il est témoin lui font peu à peu perdre la tête. Il se charge bientôt de délivrer une prostituée mineure de ses souteneurs.",7.9
Donnie Darko,Richard Kelly,2001,"['Drame', 'Science-fiction']","En octobre 1988, dans une coquette banlieue pavillonnaire de Virginie vit Donnie Darko, un adolescent pas comme les autres. Intelligent et débordant d'imagination mais aussi schizophrène. Il traite sa mère Elizabeth de tous les noms, laisse régulièrement des messages politiques pour son père Eddie sur le réfrigérateur et interpelle ses profs en plein cours. Somnambule, il parle la nuit avec un certain Frank, déguisé en lapin géant monstrueux. Un jour, ce dernier lui annonce que la fin du monde...  Voir plus",7.5
Requiem for a Dream,Darren Aronofsky,2000,['Drame'],"Trois amis, Harry, Marianne et Tyrone, passent leurs journées à se droguer pour se sentir invulnérables et heureux. Cet eldorado a un prix.",7.4
Usual Suspects,Bryan Singer,1995,"['Policier', 'Thriller']","Roger ""Verbal"" Kint, malfrat handicapé, semble être le seul survivant d'un massacre. Interrogé par la police, il raconte son étrange périple.",7.9
Brazil,Terry Gilliam,1985,"['Drame', 'Fantastique', 'Science-fiction']",Sam est un employé du Ministère de l'Information. Il vit sans ambition. Il suivra par amour une révolutionnaire dans sa lutte idéaliste contre l'Etat.,7.7
Babylon,Damien Chazelle,2022,"['Comédie dramatique', 'Historique']","Los Angeles des années 1920. Récit d'une ambition démesurée et d'excès les plus fous, l'ascension et la chute de différents personnages lors de la création d'Hollywood, une ère de décadence et de dépravation sans limites.",7.3
Anatomie d'une chute,Justine Triet,2023,"['Drame', 'Policier', 'Thriller']","Sandra, Samuel et leur fils malvoyant de 11 ans, Daniel, vivent depuis un an loin de tout, à la montagne. Un jour, Samuel est retrouvé mort au pied de leur maison. Une enquête pour mort suspecte est ouverte. Sandra est bientôt inculpée malgré le doute : suicide ou homicide ? Un an plus tard, Daniel assiste au procès de sa mère, véritable dissection du couple...",7.8
Oppenheimer,Christopher Nolan,2023,"['Biopic', 'Drame', 'Historique']","En 1942, convaincus que l’Allemagne nazie est en train de développer une arme nucléaire, les États-Unis initient, dans le plus grand secret, le ""Projet Manhattan"" destiné à mettre au point la première bombe atomique de l’histoire. Pour piloter ce dispositif, le gouvernement engage J. Robert Oppenheimer, brillant physicien, qui sera bientôt surnommé ""le père de la bombe atomique"". C’est dans le laboratoire ultra-secret de Los Alamos, au cœur du désert du Nouveau-Mexique, que le scientifique et...  Voir plus",7.1
Spider-Man: Across the Spider-Verse,Joaquim Dos Santos,2023,"['Action', 'Aventure', 'Science-fiction', 'Animation']","Après avoir retrouvé Gwen Stacy, Spider-Man, le sympathique héros originaire de Brooklyn, est catapulté à travers le Multivers, où il rencontre une équipe de Spider-Héros chargée d’en protéger l’existence. Mais lorsque les héros s’opposent sur la façon de gérer une nouvelle menace, Miles se retrouve confronté à eux et doit redéfinir ce que signifie être un héros afin de sauver les personnes qu'il aime le plus.",7.9
The Fabelmans,Steven Spielberg,2022,"['Drame', 'Biopic']","Le jeune Sammy Fabelman tombe amoureux du cinéma après que ses parents l'ont emmené voir ""The Greatest Show on Earth"". Armé d'une caméra, Sammy commence à faire ses propres films à la maison, pour le plus grand plaisir de sa mère qui le soutient.",7.3
Killers of the Flower Moon,Martin Scorsese,2023,"['Drame', 'Policier', 'Thriller', 'Western', 'Historique']","Au début du XXe siècle, le pétrole a apporté la fortune au peuple Osage qui, du jour au lendemain, est devenu l’un des plus riches du monde. La richesse de ces Amérindiens attire aussitôt la convoitise de Blancs peu recommandables qui intriguent, soutirent et volent autant d’argent Osage que possible avant de recourir au meurtre…",7.4
Je verrai toujours vos visages,Jeanne Herry,2023,['Drame'],"Depuis 2014, en France, la Justice Restaurative propose à des personnes victimes et auteurs d’infraction de dialoguer dans des dispositifs sécurisés, encadrés par des professionnels et des bénévoles comme Judith, Fanny ou Michel. Nassim, Issa, et Thomas, condamnés pour vols avec violence, Grégoire, Nawelle et Sabine, victimes de homejacking, de braquages et de vol à l'arraché, mais aussi Chloé, victime de viols incestueux, s’engagent tous dans des mesures de Justice Restaurative. Sur leur...  Voir plus",7.6
Aftersun,Charlotte Wells,2022,['Drame'],"Avec mélancolie, Sophie se remémore les vacances d’été passées avec son père vingt ans auparavant : les moments de joie partagée, leur complicité, parfois leurs désaccords. Elle repense aussi à ce qui planait au-dessus de ces instants si précieux : la sourde et invisible menace d’un bonheur finissant. Elle tente alors de chercher parmi ces souvenirs des réponses à la question qui l’obsède depuis tant d’années : qui était réellement cet homme qu’elle a le sentiment de ne pas connaître ?",7.2
Yannick,Quentin Dupieux (Mr. Oizo),2023,['Comédie'],"En pleine représentation de la pièce ""Le Cocu"", un très mauvais boulevard, Yannick se lève et interrompt le spectacle pour reprendre la soirée en main...",7.2
Les Gardiens de la galaxie Vol. 3,James Gunn,2023,"['Action', 'Aventure', 'Comédie', 'Science-fiction']","Notre bande de marginaux favorite a quelque peu changé. Peter Quill, qui pleure toujours la perte de Gamora, doit rassembler son équipe pour défendre l’univers et protéger l’un des siens. En cas d’échec, cette mission pourrait bien marquer la fin des Gardiens tels que nous les connaissons.",7
Le Garçon et le Héron,Hayao Miyazaki,2023,"['Animation', 'Aventure', 'Drame', 'Fantastique']","Après la disparition de sa mère dans un incendie, Mahito, un jeune garçon de 11 ans, doit quitter Tokyo pour partir vivre à la campagne dans le village où elle a grandi. Il s’installe avec son père dans un vieux manoir situé sur un immense domaine où il rencontre un héron cendré qui devient petit à petit son guide et l’aide au fil de ses découvertes et questionnements à comprendre le monde qui l'entoure et percer les mystères de la vie...",7
Le Règne animal,Thomas Cailley,2023,"['Science-fiction', 'Aventure', 'Drame']","Dans un monde en proie à une vague de mutations qui transforment peu à peu certains humains en animaux, François fait tout pour sauver sa femme, touchée par ce phénomène mystérieux. Alors que la région se peuple de créatures d'un nouveau genre, il embarque Émile, leur fils de 16 ans, dans une quête qui bouleversera à jamais leur existence...",7.1
Barbie,Greta Gerwig,2023,"['Aventure', 'Comédie', 'Fantastique']","À Barbie Land, vous êtes un être parfait dans un monde parfait. Sauf si vous êtes en crise existentielle, ou si vous êtes Ken...",6
The Whale,Darren Aronofsky,2022,['Drame'],"Charlie, professeur d’anglais reclus chez lui, tente de renouer avec sa fille adolescente pour une ultime chance de rédemption...",6.8
Mars Express,Jérémie Périn,2023,"['Animation', 'Science-fiction']","En l’an 2200, Aline Ruby, détective privée obstinée, et Carlos Rivera son partenaire androïde sont embauchés par un riche homme d’affaires afin de capturer sur Terre une célèbre hackeuse. De retour sur Mars, une nouvelle affaire va les conduire à s’aventurer dans les entrailles de Noctis, la capitale martienne, à la recherche de Jun Chow, une étudiante en cybernétique disparue. Noctis est leur ville, une utopie libertarienne rendue possible par les progrès en robotique, emblème d’un futur...  Voir plus",7.5
Pauvres Créatures,Yórgos Lánthimos,2023,"['Comédie', 'Drame', 'Fantastique', 'Érotique']","Bella est une jeune femme ramenée à la vie par le brillant et peu orthodoxe Docteur Godwin Baxter. Sous sa protection, elle a soif d’apprendre. Avide de découvrir le monde dont elle ignore tout, elle s'enfuit avec Duncan Wedderburn, un avocat habile et débauché, et embarque pour une odyssée étourdissante à travers les continents. Imperméable aux préjugés de son époque, Bella est résolue à ne rien céder sur les principes d’égalité et de libération...",7.5
Le Cercle des neiges,J. A. Bayona,2023,"['Drame', 'Historique']","Le 13 octobre 1972, le vol 571 de l'armée de l'air uruguayenne, qui transportait une équipe de rugby au Chili, s'est écrasé dans les Andes. Parmi les 45 passagers, seuls 29 ont survécu à l'accident. Coincés dans l'un des environnements les plus hostiles et inaccessibles de la planète, ils doivent prendre des mesures extrêmes pour assurer leur survie...",7.3
Priscilla,Sofia Coppola,2023,"['Biopic', 'Drame', 'Romance']","Quand Priscilla rencontre Elvis, elle est collégienne. Lui, à 24 ans, est déjà une star mondiale. De leur idylle secrète à leur mariage iconique, le portrait de Priscilla, une adolescente effacée qui lentement se réveillera de son conte de fées pour prendre sa vie en main...",6.1
May December,Todd Haynes,2023,['Comédie dramatique'],"Pour préparer son nouveau rôle, une actrice célèbre vient rencontrer celle qu’elle va incarner à l’écran, dont la vie sentimentale a enflammé la presse à scandale et passionné le pays 20 ans plus tôt...",6.5
Les Chambres rouges,Pascal Plante,2023,['Thriller'],"Deux jeunes femmes se réveillent chaque matin aux portes du palais de justice de Montréal pour pouvoir assister au procès hypermédiatisé d’un tueur en série qui les obsède, et qui a filmé la mise à mort de ses victimes. Cette obsession maladive les conduira à tenter par tous les moyens de mettre la main sur l’ultime pièce du puzzle, qui pourrait permettre de définitivement confondre celui que l’on surnomme le Démon de Rosemont : la vidéo manquante de l’un de ses meurtres.",7.4
La Zone d’intérêt,Jonathan Glazer,2023,"['Drame', 'Guerre', 'Historique']","Le commandant d’Auschwitz, Rudolf Höss, et sa femme Hedwig s’efforcent de construire une vie de rêve pour leur famille dans une maison avec jardin à côté du camp.",7.5
Iron Claw,Sean Durkin,2023,"['Biopic', 'Drame', 'Sport']","Les inséparables frères Von Erich ont marqué l’histoire du catch professionnel du début des années 80. Entrainés de main de fer par un père tyrannique, ils vont devoir se battre sur le ring et dans leur vie...",7.3
Moi capitaine,Matteo Garrone,2023,['Drame'],"Seydou et Moussa, deux jeunes sénégalais de 16 ans, décident de quitter leur terre natale pour rejoindre l’Europe. Mais sur leur chemin les rêves et les espoirs d’une vie meilleure sont très vite anéantis par les dangers de ce périple. Leur seule arme dans cette odyssée restera leur humanité...",7.1
Making of,Cédric Kahn,2022,"['Comédie', 'Drame']","Simon, réalisateur aguerri, débute le tournage d’un film racontant le combat d’ouvriers pour sauver leur usine. Mais entre les magouilles de son producteur, des acteurs incontrôlables et des techniciens à cran, il est vite dépassé par les événements.
Abandonné par ses financiers, Simon doit affronter un conflit social avec sa propre équipe. Dans ce tournage infernal, son seul allié est le jeune figurant à qui il a confié la réalisation du making of...",6.1
Jeunesse (Le Printemps),Wáng Bīng,2023,['Société'],"Zhili, à 150 km de Shanghai. Dans cette cité dédiée à la confection textile, les jeunes affluent de toutes les régions rurales traversées par le fleuve Yangtze. Ils ont 20 ans, partagent les dortoirs, mangent dans les coursives. Ils travaillent sans relâche pour pouvoir un jour élever un enfant, s’acheter une maison ou monter leur propre atelier. Entre eux, les amitiés et les liaisons amoureuses se nouent et se dénouent au gré des saisons, des faillites et des pressions familiales...",7.5
Un silence,Joachim Lafosse,2023,['Drame'],"Silencieuse depuis 25 ans, Astrid la femme d’un célèbre avocat voit son équilibre familial s’effondrer lorsque ses enfants se mettent en quête de justice...",5.9
Daaaaaali !,Quentin Dupieux (Mr. Oizo),2023,['Comédie'],Une journaliste française rencontre Salvador Dali à plusieurs reprises pour un projet de documentaire...,6.9
Ferrari,Michael Mann,2023,"['Biopic', 'Drame', 'Historique', 'Sport']","Au cours de l’été 1957, l’ancien pilote automobile Enzo Ferrari est en crise. La faillite traque l’entreprise que lui et sa femme Laura ont construite à partir de rien, dix ans plus tôt. Leur mariage tempétueux lutte avec le deuil d’un fils et la reconnaissance d’un autre. Il décide de contrer ses pertes en misant tout sur une seule course - 1 000 miles à travers l’Italie, l’emblématique Mille Miglia.",6.3
Iris et les hommes,Caroline Vignal,2023,['Comédie'],"Un mari formidable, deux filles parfaites, un cabinet dentaire florissant : tout va bien pour Iris. Mais depuis quand n’a-t-elle pas fait l’amour ? Peut-être est-il temps de prendre un amant. S'inscrivant sur une banale appli de rencontre, Iris ouvre la boite de Pandore. Les hommes vont tomber… Comme s’il en pleuvait !",5.3
Vampire humaniste cherche suicidaire consentant,Ariane Louis-Seize,2023,"['Comédie', 'Épouvante-Horreur']","Sasha est une jeune vampire avec un grave problème : elle est trop humaniste pour mordre ! Lorsque ses parents, exaspérés, décident de lui couper les vivres, sa survie est menacée. Heureusement pour elle, Sasha fait la rencontre de Paul, un adolescent solitaire aux comportements suicidaires qui consent à lui offrir sa vie. Ce qui devait être un échange de bons procédés se transforme alors en épopée nocturne durant laquelle les deux nouveaux amis chercheront à réaliser les dernières volontés de...  Voir plus",7.3
The Batman,Matt Reeves,2022,"['Action', 'Drame', 'Policier', 'Thriller']","Deux années à arpenter les rues en tant que Batman et à insuffler la peur chez les criminels ont mené Bruce Wayne au coeur des ténèbres de Gotham City. Avec seulement quelques alliés de confiance - Alfred Pennyworth, le lieutenant James Gordon - parmi le réseau corrompu de fonctionnaires et de personnalités de la ville, le justicier solitaire s'est imposé comme la seule incarnation de la vengeance parmi ses concitoyens. Lorsqu'un tueur s'en prend à l'élite de Gotham par une série de...  Voir plus",7
Everything Everywhere All at Once,Daniel Kwan,2022,"['Science-fiction', 'Action', 'Comédie']","Evelyn Wang est à bout : elle ne comprend plus sa famille, son travail et croule sous les impôts… Soudain, elle se retrouve plongée dans le multivers, des mondes parallèles où elle explore toutes les vies qu’elle aurait pu mener. Face à des forces obscures, elle seule peut sauver le monde mais aussi préserver la chose la plus précieuse : sa famille.",7.2
Licorice Pizza,Paul Thomas Anderson,2021,"['Comédie dramatique', 'Romance']","1973, dans la région de Los Angeles. Alana Kane et Gary Valentine font connaissance le jour de la photo de classe au lycée du garçon. Alana n'est plus lycéenne, mais tente de trouver sa voie tout en travaillant comme assistante du photographe. Gary, lui, a déjà une expérience d'acteur, ce qu'il s'empresse de dire à la jeune fille pour l'impressionner. Amusée et intriguée par son assurance hors normes, elle accepte de l'accompagner à New York pour une émission de télévision. Mais rien ne se...  Voir plus",7.1
Nope,Jordan Peele,2022,"['Science-fiction', 'Épouvante-Horreur']",Les habitants d’une vallée perdue du fin fond de la Californie sont témoins d’une découverte terrifiante à caractère surnaturel.,6.8
As Bestas,Rodrigo Sorogoyen,2022,"['Thriller', 'Drame']","Antoine et Olga, un couple de Français, sont installés depuis longtemps dans un petit village de Galice. Ils ont une ferme et restaurent des maisons abandonnées pour faciliter le repeuplement. Tout devrait être idyllique mais un grave conflit avec leurs voisins fait monter la tension jusqu’à l’irréparable…",7.5
Top Gun: Maverick,Joseph Kosinski,2022,"['Action', 'Drame']","Après avoir été l’un des meilleurs pilotes de chasse de la Marine américaine pendant plus de trente ans, Pete “Maverick"" Mitchell continue à repousser ses limites en tant que pilote d'essai. Il refuse de monter en grade, car cela l’obligerait à renoncer à voler. Il est chargé de former un détachement de jeunes diplômés de l’école Top Gun pour une mission spéciale qu’aucun pilote n'aurait jamais imaginée. Lors de cette mission, Maverick rencontre le lieutenant Bradley “Rooster” Bradshaw, le fils...  Voir plus",7
Avatar - La Voie de l'eau,James Cameron,2022,"['Action', 'Aventure', 'Fantastique', 'Science-fiction']","Dix ans plus tard, Jake Sully et Neytiri sont devenus parents. Leur vie idyllique, proche de la nature, est menacée lorsque la Resources Development Administration, dangereuse organisation non-gouvernementale, est de retour sur Pandora. Contraints de quitter leur habitat naturel, Jake et sa famille se rendent sur les récifs, où ils pensent trouver asile. Mais ils tombent sur un clan, les Metkayina, aux mœurs différentes des leurs...",6.7
Decision to Leave,Park Chan-Wook,2022,"['Thriller', 'Drame', 'Romance', 'Policier']","Hae-Joon, détective chevronné, enquête sur la mort suspecte d’un homme survenue au sommet d’une montagne. Bientôt, il commence à soupçonner Sore, la femme du défunt, tout en étant déstabilisé par son attirance pour elle.",7
La Nuit du 12,Dominik Moll,2022,"['Policier', 'Drame']","À la PJ chaque enquêteur tombe un jour ou l’autre sur un crime qu’il n’arrive pas à résoudre et qui le hante. Pour Yohan c’est le meurtre de Clara. Les interrogatoires se succèdent, les suspects ne manquent pas, et les doutes de Yohan ne cessent de grandir. Une seule chose est certaine, le crime a eu lieu la nuit du 12.",7.2
The Northman,Robert Eggers,2022,"['Aventure', 'Drame', 'Fantastique', 'Historique']","Le jeune prince Amleth vient tout juste de devenir un homme quand son père est brutalement assassiné par son oncle qui s'empare alors de la mère du garçon. Amleth fuit son royaume insulaire en barque, en jurant de se venger. Deux décennies plus tard, Amleth est devenu un berserkr, un guerrier viking capable d'entrer dans une fureur bestiale, qui pille et met à feu, avec ses frères berserkir, des villages slaves jusqu'à ce qu'une devineresse lui rappelle son vœu de venger son père, de secourir...  Voir plus",6.4
Sans filtre,Ruben Östlund,2022,"['Comédie', 'Drame']","Après la Fashion Week, Carl et Yaya, couple de mannequins et influenceurs, sont invités sur un yacht pour une croisière de luxe. Tandis que l’équipage est aux petits soins avec les vacanciers, le capitaine refuse de sortir de sa cabine alors que le fameux dîner de gala approche. Les événements prennent une tournure inattendue et les rapports de force s'inversent lorsqu'une tempête se lève et met en danger le confort des passagers.",6.9
Les Banshees d'Inisherin,Martin McDonagh,2022,['Comédie dramatique'],"Sur Inisherin - une île isolée au large de la côte ouest de l'Irlande - deux compères de toujours, Pádraic et Colm, se retrouvent dans une impasse lorsque Colm décide du jour au lendemain de mettre fin à leur amitié. Abasourdi, Pádraic n’accepte pas la situation et tente par tous les moyens de recoller les morceaux, avec le soutien de sa sœur Siobhan et de Dominic, un jeune insulaire un peu dérangé. Mais les efforts répétés de Pádraic ne font que renforcer la détermination de son ancien ami et...  Voir plus",7.2
Nightmare Alley,Guillermo del Toro,2021,"['Drame', 'Thriller', 'Film noir']","Alors qu'il traverse une mauvaise passe, le charismatique Stanton Carlisle débarque dans une foire itinérante et parvient à s'attirer les bonnes grâces d'une voyante, Zeena et de son mari Pete, une ancienne gloire du mentalisme. S'initiant auprès d'eux, il voit là un moyen de décrocher son ticket pour le succès et décide d'utiliser ses nouveaux talents pour arnaquer l'élite de la bonne société new-yorkaise des années 40. Avec la vertueuse et fidèle Molly à ses côtés, Stanton se met à échafauder...  Voir plus",6.7
Elvis,Baz Luhrmann,2022,"['Biopic', 'Drame', 'Musique']","A la fin des années 1940, Elvis s'installe à Memphis avec ses parents. Passionné de musique, l'adolescent parvient à se construire une solide réputation en chantant dans les festivals locaux. En 1955, sa rencontre avec Tom Parker, un manager réputé, lui offre l'opportunité de réaliser son rêve...",6.7
Armageddon Time,James Gray,2022,['Drame'],"L’histoire très personnelle du passage à l’âge adulte d’un garçon du Queens dans les années 80, de la force de la famille et de la quête générationnelle du rêve américain.",6.8
Anatomie d'une chute,Justine Triet,2023,"['Drame', 'Policier', 'Thriller']","Sandra, Samuel et leur fils malvoyant de 11 ans, Daniel, vivent depuis un an loin de tout, à la montagne. Un jour, Samuel est retrouvé mort au pied de leur maison. Une enquête pour mort suspecte est ouverte. Sandra est bientôt inculpée malgré le doute : suicide ou homicide ? Un an plus tard, Daniel assiste au procès de sa mère, véritable dissection du couple...",7.8
Je verrai toujours vos visages,Jeanne Herry,2023,['Drame'],"Depuis 2014, en France, la Justice Restaurative propose à des personnes victimes et auteurs d’infraction de dialoguer dans des dispositifs sécurisés, encadrés par des professionnels et des bénévoles comme Judith, Fanny ou Michel. Nassim, Issa, et Thomas, condamnés pour vols avec violence, Grégoire, Nawelle et Sabine, victimes de homejacking, de braquages et de vol à l'arraché, mais aussi Chloé, victime de viols incestueux, s’engagent tous dans des mesures de Justice Restaurative. Sur leur...  Voir plus",7.6
Yannick,Quentin Dupieux (Mr. Oizo),2023,['Comédie'],"En pleine représentation de la pièce ""Le Cocu"", un très mauvais boulevard, Yannick se lève et interrompt le spectacle pour reprendre la soirée en main...",7.2
Le Règne animal,Thomas Cailley,2023,"['Science-fiction', 'Aventure', 'Drame']","Dans un monde en proie à une vague de mutations qui transforment peu à peu certains humains en animaux, François fait tout pour sauver sa femme, touchée par ce phénomène mystérieux. Alors que la région se peuple de créatures d'un nouveau genre, il embarque Émile, leur fils de 16 ans, dans une quête qui bouleversera à jamais leur existence...",7.1
Chien de la casse,Jean-Baptiste Durand,2022,['Comédie dramatique'],"Dog et Mirales sont amis d’enfance. Ils vivent dans un petit village du sud de la France et passent la majeure partie de leurs journées à traîner dans les rues. Pour tuer le temps, Mirales a pris l’habitude de taquiner Dog plus que de raison. Leur amitié va être mise à mal par l'arrivée au village d'une jeune fille, Elsa, avec qui Dog va vivre une histoire d'amour. Rongé par la jalousie, Mirales va devoir se défaire de son passé pour pouvoir grandir, et trouver sa place...",7.3
Le Procès Goldman,Cédric Kahn,2023,"['Drame', 'Historique', 'Policier']","En avril 1976 débute le deuxième procès de Pierre Goldman, militant d’extrême gauche, condamné en première instance à la réclusion criminelle à perpétuité pour quatre braquages à main armée, dont un ayant entraîné la mort de deux pharmaciennes. Il clame son innocence dans cette dernière affaire et devient en quelques semaines l’icône de la gauche intellectuelle. Georges Kiejman, jeune avocat, assure sa défense. Mais très vite, leurs rapports se tendent. Goldman, insaisissable et provocateur,...  Voir plus",7.4
Les Trois Mousquetaires - D'Artagnan,Martin Bourboulon,2023,"['Aventure', 'Drame', 'Historique']","Du Louvre au Palais de Buckingham, des bas-fonds de Paris au siège de La Rochelle… dans un Royaume divisé par les guerres de religion et menacé d’invasion par l’Angleterre, une poignée d’hommes et de femmes vont croiser leurs épées et lier leur destin à celui de la France.",6.4
Mars Express,Jérémie Périn,2023,"['Animation', 'Science-fiction']","En l’an 2200, Aline Ruby, détective privée obstinée, et Carlos Rivera son partenaire androïde sont embauchés par un riche homme d’affaires afin de capturer sur Terre une célèbre hackeuse. De retour sur Mars, une nouvelle affaire va les conduire à s’aventurer dans les entrailles de Noctis, la capitale martienne, à la recherche de Jun Chow, une étudiante en cybernétique disparue. Noctis est leur ville, une utopie libertarienne rendue possible par les progrès en robotique, emblème d’un futur...  Voir plus",7.5
L’Amour et les forêts,Valérie Donzelli,2023,"['Drame', 'Romance', 'Thriller']","Quand Blanche croise le chemin de Grégoire, elle pense rencontrer celui qu’elle cherche. Les liens qui les unissent se tissent rapidement et leur histoire se construit dans l’emportement. Le couple déménage, Blanche s’éloigne de sa famille, de sa sœur jumelle, s’ouvre à une nouvelle vie. Mais fil après fil, elle se retrouve sous l’emprise d’un homme possessif et dangereux...",6.9
Le Livre des solutions,Michel Gondry,2023,"['Comédie', 'Drame']","Marc s'enfuit avec toute son équipe dans un petit village des Cévennes pour finir son film chez sa tante Denise. Sur place, sa créativité se manifeste par un million d'idées qui le plongent dans un drôle de chaos. Marc se lance alors dans l’écriture du Livre des Solutions, un guide de conseils pratiques qui pourrait bien être la solution à tous ses problèmes…",6.5
Mon crime,François Ozon,2022,"['Comédie', 'Policier']","Dans les années 30 à Paris, Madeleine Verdier, jeune et jolie actrice sans le sou et sans talent, est accusée du meurtre d’un célèbre producteur. Aidée de sa meilleure amie Pauline, jeune avocate au chômage, elle est acquittée pour légitime défense. Commence alors une nouvelle vie, faite de gloire et de succès, jusqu’à ce que la vérité éclate au grand jour…",6.2
La Passion de Dodin Bouffant,Trần Anh Hùng,2023,"['Drame', 'Romance']","Eugénie, cuisinière hors pair, est depuis 20 ans au service du célèbre gastronome Dodin.
Au fil du temps, de la pratique de la gastronomie et de l'admiration réciproque est née une relation amoureuse.
De cette union naissent des plats tous plus savoureux et délicats les uns que les autres qui vont jusqu'à émerveiller les plus grands de ce monde. Pourtant, Eugénie, avide de liberté, n'a jamais voulu se marier avec Dodin. Ce dernier décide alors de faire quelque chose qu'il n'a encore jamais...  Voir plus",7
Bonne conduite,Jonathan Barré,2023,"['Comédie', 'Thriller', 'Policier']","Pauline a une méthode bien à elle pour faire de la prévention routière : formatrice dans un centre de récupération de points le jour, elle se transforme en serial killeuse de chauffards la nuit...",6
